1 famiglia tintura per unito	100/188	2,63	189/399	1,4	400/599	1,26	600/799	1,13	999999999999	0,92		0	
12  famiglia tintura x unito	60	5,5	100/180	3,3	181/399	1,93	400/599	1,75	600/799	1,57	800/999999	1,29	Tintea
14  famiglia tintura x unito	60	5,5	100/142	3,3	143/399	2,85	400/599	2,6	600/799	2,38	800/999999	2,02	Tintea
15  famiglia tintura x unito	60	5,5	100/218	3,3	219/399	1,6	400/599	1,44	600/799	1,3	800/99999	1,07	Tintea
16  famiglia tintura x unito	60	5,5	100/227	3,3	228/399	1,92	400/599	1,79	600/799	1,64	800/999999	1,43	Tintea
17  famiglia tintura x unito	60	5,5	100/198	3,3	199/399	2,15	400/599	1,99	600/799	1,83	800/999999	1,56	Tintea
18  famiglia tintura x unito	60	5,5	100/172	3,3	173/399	2,02	400/599	1,83	600/799	1,64	800/999999	1,35	Tintea
19 famiglia purga + finissaggio		0,78											Tintea
twill adpel	1/180	3,3	181/400	2,11	401/600	1,9	601/800	1,7	801/99999	1,7			Tintea
21  famiglia tintura x unito	60	5,5	100/136	3,3	137/399	2,56	400/599	2,35	600/799	2,14	800/999	1,92	Tintea
8 famiglia bi.co x stampa  termifisso	60	5,5	100/251	3,3	252/399	1,47	400/599	1,33	600/799	1,19	800/99999	0,99	Tintea
24 famiglia tintura x geox	60	5,5	100/154	3,3	155/399	2,28	400/599	2,12	600/799	1,91	800/99999	1,72	Tintea
22  famiglia tintura x unito	60	5,5	100/214	3,3	215/399	1,63	400/599	1,5	600/799	1,36	800/999999	1,22	Tintea
22  purga + finiss. top gun	60	5,5	100/201	3,3	202/399	1,63	400/599	1,5	600/799	1,36	800/999	1,22	Tintea
23  tintura x unito 2 fibre	60	5,5	100	3,3	101/399	3,62	400/599	3,32	600/799	3,01	800/999	2,7	Tintea
26  tintura x unito	60	5,5	100/166	3,3	167/399	2,1	400/599	1,9	600/799	1,72	800/9999	1,41	Tintea
29  tintura x unito	60	5,5	100/163	3,3	164/399	2,14	400/599	1,92	600/799	1,73	800/9999	1,41	Tintea
13 famiglia delight	1/132	3,3	133/275	2,54	276/547	2,28	547/99999	1,85					Tintea
fam 30 x unito 2 fibre	60	5,5	100/159	3,3	160/399	2,19	400/599	2,02	600/799	1,82	800/999	1,63	Tintea
31 famiglia x unito	60	5,5	100/145	3,3	146/399	2,41	400/599	2,21	600/799	2	800/999	1,79	Tintea
fam 30 x unito 1 fibra	60	5,5	100/190	3,3	191/399	1,83	400/599	1,69	600/799	1,52	800/999	1,38	Tintea
fam 10 tintura per unito	60	5,5	100/214	3,3	215/399	1,8	400/599	1,64	600/799	1,49	800/99999	1,26	Tintea
